State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
CO,1974,138302,302725,322973,0,14261,778261,1.8324186873041306,98.16758131269587
CT,1974,6522,67139,574032,88951,19499,756143,2.578745025742485,97.42125497425751
DC,1974,12288,27559,98379,0,125,138351,0.09034990712029548,99.9096500928797
DE,1974,21254,20772,189686,0,8466,240178,3.5248857097652575,96.47511429023474
FL,1974,146604,302002,1347129,87919,50662,1934316,2.619117041889743,97.38088295811026
GA,1974,283947,339589,694383,487,95895,1414301,6.7803812625459505,93.21961873745406
HI,1974,0,0,210553,0,904,211457,0.4275100847926529,99.57248991520734
IA,1974,128173,371639,377015,14842,10712,902381,1.1870817315524151,98.81291826844759
ID,1974,11362,55285,120239,0,43380,230266,18.83908175761945,81.16091824238055
IL,1974,874930,1175830,1643496,218667,43077,3956000,1.0889029322548027,98.9110970677452
IN,1974,1038072,530276,851571,0,28888,2448807,1.1796764710326293,98.82032352896736
KS,1974,39107,578795,354364,0,5869,978135,0.6000194247215364,99.39998057527846
KY,1974,593822,231423,408739,0,42781,1276765,3.3507340818396494,96.64926591816035
LA,1974,0,2068614,1258807,0,44928,3372349,1.3322464549191082,98.66775354508088
MA,1974,26447,156666,1161502,32196,53953,1430764,3.770922388318409,96.22907761168159
MD,1974,217510,175541,671671,0,38538,1103260,3.4931022605732105,96.50689773942679
ME,1974,1957,1635,258683,39893,43797,345965,12.659373057968292,87.3406269420317
MI,1974,709962,942595,1082014,4641,42275,2781487,1.5198704865419108,98.4801295134581
MN,1974,188665,351995,575569,48695,29445,1194369,2.465318507094541,97.53468149290546
MO,1974,382005,411933,610794,0,31990,1436722,2.22659637703049,97.77340362296951
MS,1974,34581,283104,378835,0,31279,727799,4.297752538819097,95.7022474611809
MT,1974,14717,81667,158426,0,38210,293020,13.040065524537575,86.95993447546243
NC,1974,522825,143722,685130,0,91169,1442846,6.318692362178639,93.68130763782136
